x1,x2,x3,x4,u,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.372882720641315224e+00,-8.430480983307106491e-02,1.682648597413247682e-01
-1.053918063959505920e-03,3.143698335162568469e+00,-8.430480983307106491e-02,1.682648597413247682e-01,6.779879172313219016e-01,1.704936492364600431e-02,-3.609016895273042813e-02
-2.948613077781258099e-03,3.147458048727904689e+00,-6.725544490942506060e-02,1.321746907885943401e-01,-4.134064920868950388e+00,-1.031450934558349464e-01,2.021802672961189318e-01
-5.919616409563770859e-03,3.153296263239125263e+00,-1.704005383652600070e-01,3.343549580847132718e-01,-2.006630250488510292e-01,-4.624494306642190633e-03,1.452228836751168206e-03
-1.023786657776028924e-02,3.161682712803328688e+00,-1.750250326719021976e-01,3.358071869214644400e-01,-6.802364188693832858e+00,-1.694101314144392523e-01,3.261243887980202483e-01
-1.673181019681935569e-02,3.174168810777863392e+00,-3.444351640863414499e-01,6.619315757194846883e-01,-3.729229526418810892e+00,-9.216757096004746241e-02,1.638023620899546895e-01
-2.649581423409168301e-02,3.192785977985276524e+00,-4.366027350463889123e-01,8.257339378094393778e-01,-6.911854631103292235e+00,-1.711135857421391959e-01,3.107488217697212951e-01
-3.955131943566930763e-02,3.217342846460490957e+00,-6.077163207885281082e-01,1.136482759579160673e+00,-5.599145825685838851e+00,-1.374663544782712687e-01,2.292478491244662742e-01
-5.646455371527849681e-02,3.248657959595845135e+00,-7.451826752667993770e-01,1.365730608703626947e+00,-5.074159193084923913e+00,-1.232959200364125429e-01,1.835448098943013306e-01
-7.663772590434463072e-02,3.285139594770161153e+00,-8.684785953032119199e-01,1.549275418597928278e+00,-3.519351848956699946e+00,-8.331270277466451546e-02,8.466656984138487552e-02
-9.939361269884978978e-02,3.324977136859113891e+00,-9.517912980778764354e-01,1.633941988439313153e+00,-2.108962611783113061e+00,-4.699759630428657076e-02,-7.222480985026979994e-03
-1.237781888697704336e-01,3.365782356334297010e+00,-9.987888943821630061e-01,1.626719507454286173e+00,2.543950066650602082e-01,1.276238693821418746e-02,-1.432316483880966551e-01
-1.485900365145622071e-01,3.404701210734313310e+00,-9.860265074439488187e-01,1.483487859066189518e+00,2.058110586164346500e+00,5.817232857636445154e-02,-2.476329014777844950e-01
-1.725144642493584846e-01,3.438725859614438995e+00,-9.278541788675843671e-01,1.235854957588405023e+00,4.784089128439397598e+00,1.259833231633151751e-01,-3.899532730393679980e-01
-1.941361384227589248e-01,3.464769175972515658e+00,-8.018708557042691920e-01,8.459016845490370251e-01,7.140298266605334732e+00,1.842542042796331270e-01,-5.081261491467508051e-01
-2.118794895515850041e-01,3.479575289163884921e+00,-6.176166514246360650e-01,3.377755354022862755e-01,9.672062668951884490e+00,2.467798842206056498e-01,-6.287562456539563804e-01
-2.242351364144298531e-01,3.480160543336585199e+00,-3.708367672040304153e-01,-2.909807102516701049e-01,1.180706062327222305e+01,2.997390283491794261e-01,-7.265761260350955819e-01
-2.297600569111289959e-01,3.463796033927516227e+00,-7.109773885485101697e-02,-1.017556836286765742e+00,1.350924340257191325e+01,3.424340309829163598e-01,-8.008081264034678792e-01
-2.272586025256251030e-01,3.428330525473088475e+00,2.713362921280653151e-01,-1.818364962690233622e+00,1.479425517264778023e+01,3.750797583996172690e-01,-8.510574213766237683e-01
-2.157881705714423948e-01,3.372203031579936727e+00,6.464160505276825841e-01,-2.669422384066857390e+00,1.580144438530469841e+01,4.004592028119684510e-01,-8.800820077734421432e-01
