x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.676158210818230021e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.962299687582949925e+00,1.204093961939327068e-03,-2.404645582650299929e-03,8.026111369028766929e-02,-1.600500374291172201e-01
1.204093961939327068e-03,3.139188008007142816e+00,8.026111369028766929e-02,-1.600500374291172201e-01,1.604121493144217148e+00,3.738897989129941288e-03,-7.424366722132091923e-03,8.870083643463637368e-02,-1.740542649775262407e-01
4.942991951069268357e-03,3.131763641285010724e+00,1.689619501249240430e-01,-3.341043024066434608e-01,2.822208335329209561e+00,5.784748213859700929e-03,-1.133654709267295502e-02,4.766945040444484083e-02,-8.633304475412029166e-02
1.072774016492896929e-02,3.120427094192337769e+00,2.166314005293688838e-01,-4.204373471607637525e-01,-1.088657034675185820e+00,7.757354629987871925e-03,-1.490173671561390023e-02,8.381800704842459759e-02,-1.509485867966621209e-01
1.848509479491684121e-02,3.105525357476723869e+00,3.004494075777934814e-01,-5.713859339574258733e-01,2.962861846758939599e+00,8.505080663437334515e-03,-1.575888697827698692e-02,-3.396966050189975661e-02,9.386876272912353381e-02
2.699017545835417572e-02,3.089766470498446882e+00,2.664797470758937248e-01,-4.775171712283023395e-01,-4.487991210481633075e+00,9.301809617657325752e-03,-1.643350084328432104e-02,8.707476378059297861e-02,-1.387216336450511345e-01
3.629198507601150148e-02,3.073332969655162561e+00,3.535545108564867034e-01,-6.162388048733534740e-01,1.916774263482229124e+00,8.555328071276714630e-03,-1.374616050315102811e-02,-1.368110142738197532e-01,3.174786652457799452e-01
4.484731314728821611e-02,3.059586809152011533e+00,2.167434965826669502e-01,-2.987601396275735288e-01,-5.624714719990932643e+00,7.326656391976972549e-03,-9.854702487341882033e-03,5.490652278642121908e-02,-5.838071353987578371e-02
5.217396953926518866e-02,3.049732106664669651e+00,2.716500193690881693e-01,-3.571408531674493125e-01,-6.709139562544947921e-01,5.579096970762545404e-03,-4.763748946482682101e-03,-1.713776855943150434e-01,3.971727621046604040e-01
5.775306651002773406e-02,3.044968357718186969e+00,1.002723337747731397e-01,4.003190893721107757e-02,-5.119606079754865036e+00,2.664455715121277768e-03,2.731227712581496547e-03,-2.290177231778259270e-02,1.017283021148601557e-01
6.041752222514901183e-02,3.047699585430768465e+00,7.737056145699054699e-02,1.417602110520712333e-01,-2.640199143168599605e+00,-2.109656347337729443e-05,9.724868741353365209e-03,-1.561101208555961128e-01,3.638243933722121737e-01
6.039642566167563453e-02,3.057424454172121830e+00,-7.873955939860557973e-02,5.055846044242834347e-01,-4.197935904090289050e+00,-3.584652889454420510e-03,1.829802627065335585e-02,-8.141577436874239404e-02,2.067826334603911631e-01
5.681177277222121402e-02,3.075722480442775186e+00,-1.601553337673479738e-01,7.123672378846745978e-01,-3.390363979625875324e+00,-6.719479256603690109e-03,2.570609684362823444e-02,-1.275368462857231489e-01,2.863095976641054641e-01
5.009229351561752391e-02,3.101428577286403421e+00,-2.876921800530711226e-01,9.986768355487800619e-01,-3.587134031484542795e+00,-1.017009876874133689e-02,3.329894496528762460e-02,-1.024543610493119372e-01,2.190008487640484613e-01
3.992219474687618702e-02,3.134727522251691045e+00,-3.901465411023830598e-01,1.217677684312828523e+00,-3.260535086203979027e+00,-1.331576059450433405e-02,3.970123366994604552e-02,-1.072086332107502482e-01,2.070488251297353255e-01
2.660643415237185297e-02,3.174428755921637091e+00,-4.973551743131333081e-01,1.424726509442563849e+00,-2.965855287274640872e+00,-1.636425106391972348e-02,4.520634432115722134e-02,-9.597916906059539288e-02,1.592739871552666386e-01
1.024218308845212949e-02,3.219635100242794312e+00,-5.933343433737287009e-01,1.584000496597830487e+00,-2.477476163241527196e+00,-1.908659198065245158e-02,4.925133077711851826e-02,-8.547804620657895036e-02,1.098876279142617651e-01
-8.844408892200322087e-03,3.268886431019912830e+00,-6.788123895803076513e-01,1.693888124512092253e+00,-1.811267987963944615e+00,-2.140473328061852365e-02,5.160541644273708428e-02,-6.905505329469885378e-02,4.680146714792221552e-02
-3.024914217281884574e-02,3.320491847462649915e+00,-7.478674428750065051e-01,1.740689591660014468e+00,-9.433572958086917648e-01,-2.315076672684099682e-02,5.190107200995264236e-02,-4.736766962250160695e-02,-2.701269238867221034e-02
-5.339990889965984255e-02,3.372392919472602557e+00,-7.952351124975081120e-01,1.713676899271342258e+00,1.447593573118011179e-01,-2.415931332149685862e-02,4.983200266656639954e-02,-1.992088257324886591e-02,-1.104791639911228973e-01
-7.755922222115670117e-02,3.422224922139168957e+00,-8.151559950707569779e-01,1.603197735280219360e+00,1.449930067475305062e+00,-2.425254146995277360e-02,4.513254888306539314e-02,1.362953269178934779e-02,-2.020170060592116901e-01
-1.018117636911094748e-01,3.467357471022234350e+00,-8.015264623789676302e-01,1.401180729221007670e+00,2.972286054004994682e+00,-2.325097354850355624e-02,3.760006575343588509e-02,5.305893638182423988e-02,-2.990709553469630411e-01
-1.250627372396130310e-01,3.504957536775670235e+00,-7.484675259971433903e-01,1.102109773874044629e+00,4.690937078637215762e+00,-2.097844648009794533e-02,2.709498421067468854e-02,9.837695033274562739e-02,-4.000403810767118040e-01
-1.460411837197109763e-01,3.532052520986344923e+00,-6.500905756643977629e-01,7.020693927973328252e-01,6.553792531495553852e+00,-1.726535690835634407e-02,1.352662615326938322e-02,1.491368502907723936e-01,-5.032887345820965530e-01
-1.633065406280673204e-01,3.545579147139614307e+00,-5.009537253736253692e-01,1.987806582152362722e-01,8.452451468996823536e+00,-1.196693383962713075e-02,-3.140263290963840603e-03,2.041211862877259087e-01,-6.067298434267144325e-01
-1.752734744676944512e-01,3.542438883848650466e+00,-2.968325390858994606e-01,-4.079491852114781603e-01,1.024177672827834407e+01,-4.998632280374365466e-03,-2.284689180807308873e-02,2.605107572356610834e-01,-7.060726286536275209e-01
-1.802721067480688166e-01,3.519591992040577377e+00,-3.632178185023837713e-02,-1.114021813865105681e+00,1.181164855440738926e+01,3.621701340374816613e-03,-4.537287758333485854e-02,3.142597166822675980e-01,-7.946196743396352069e-01
