# x1,x2,x3,x4,u,Y_p,Y_theta,Y_v,Y_w
-6.333371996879577637e-01,-9.558992087841033936e-02,4.300801277160644531e+00,6.026831865310668945e-01,7.993007302284240723e-01,1.294414848089218140e-01,1.812238991260528564e-02,2.791768126189708710e-02,4.752243403345346451e-03
3.104557752609252930e+00,6.246445775032043457e-01,-1.074116826057434082e+00,-1.811239868402481079e-01,-8.580808639526367188e+00,-3.581122681498527527e-02,-6.112791597843170166e-03,-2.392156720161437988e-01,-4.609815031290054321e-02
-1.816355824470520020e+00,-4.753609001636505127e-02,5.563382506370544434e-01,-2.762207031250000000e+00,5.940616607666015625e+00,1.862118765711784363e-02,-7.967353612184524536e-02,1.284385323524475098e-01,2.041722685098648071e-01
-2.086549520492553711e+00,-8.192195892333984375e-01,1.176540374755859375e+00,4.559047222137451172e-01,1.388401412963867188e+01,4.120816662907600403e-02,1.537073776125907898e-02,3.942420482635498047e-01,1.155621558427810669e-01
4.508168399333953857e-01,6.806452274322509766e-01,2.907865524291992188e+00,2.650888264179229736e-01,-1.895376014709472656e+01,7.842129468917846680e-02,-1.689533382887020707e-04,-5.876476764678955078e-01,-5.414789915084838867e-01
1.227205991744995117e+00,3.253401517868041992e+00,1.752809643745422363e+00,9.650256037712097168e-01,-1.011225700378417969e+01,4.830126464366912842e-02,3.637152910232543945e-02,-2.852668762207031250e-01,4.902003705501556396e-01
-2.721861004829406738e-01,-1.361174285411834717e-01,-5.321204185485839844e+00,-3.019958019256591797e+00,4.400139808654785156e+00,-1.585244983434677124e-01,-8.986664563417434692e-02,7.384645938873291016e-02,3.922532498836517334e-02
-5.959500074386596680e-01,5.077115058898925781e+00,-1.600559830665588379e+00,-2.396350860595703125e+00,1.608273506164550781e+01,-4.191419482231140137e-02,-7.614225894212722778e-02,4.071857035160064697e-01,-2.954073548316955566e-01
1.496393442153930664e+00,3.066961467266082764e-01,-5.627346038818359375e+00,-1.729806303977966309e+00,-3.633261919021606445e+00,-1.706889867782592773e-01,-5.295792967081069946e-02,-1.248290017247200012e-01,-7.700699567794799805e-02
-2.088360071182250977e+00,-4.315871894359588623e-01,3.879390716552734375e+00,7.639349699020385742e-01,5.106598377227783203e+00,1.186356171965599060e-01,2.339559420943260193e-02,1.503800600767135620e-01,3.462917730212211609e-02
6.310023665428161621e-01,2.449038505554199219e+00,3.707797765731811523e+00,3.824400663375854492e+00,-5.825338363647460938e-01,1.105051860213279724e-01,1.212526336312294006e-01,-4.860637336969375610e-02,4.263122081756591797e-01
-2.129342317581176758e+00,-8.460565209388732910e-01,-4.776926636695861816e-01,-9.852172806859016418e-03,1.517662620544433594e+01,-8.013050071895122528e-03,1.473971758969128132e-03,4.211929440498352051e-01,1.182343140244483948e-01
1.591547846794128418e+00,8.432713150978088379e-01,-9.659267663955688477e-01,-4.423229992389678955e-01,-1.684784317016601562e+01,-3.621654212474822998e-02,-1.638616994023323059e-02,-4.827389717102050781e-01,-2.110071182250976562e-01
1.974424004554748535e+00,4.380008578300476074e-01,2.065533638000488281e+00,1.232445001602172852e+00,-5.265942096710205078e+00,6.036751717329025269e-02,3.793934732675552368e-02,-1.064347177743911743e-01,6.856833398342132568e-02
-1.148512214422225952e-01,2.547513723373413086e+00,1.985553860664367676e+00,-7.410315036773681641e+00,-2.033955335617065430e+00,5.672642216086387634e-02,-2.123990952968597412e-01,-1.893731355667114258e-01,6.680079698562622070e-01
9.266456961631774902e-01,1.091453790664672852e+00,-3.810562610626220703e+00,2.172067165374755859e+00,3.111793994903564453e+00,-1.136567220091819763e-01,7.366904616355895996e-02,4.313389211893081665e-02,5.685285329818725586e-01
-8.476538658142089844e-01,-4.379538297653198242e-01,-4.757994174957275391e+00,-2.649576187133789062e+00,1.108302974700927734e+01,-1.387947201728820801e-01,-7.638186216354370117e-02,2.625235319137573242e-01,1.964510232210159302e-01
-9.836817383766174316e-01,-8.053615689277648926e-01,-2.431977272033691406e+00,-1.181920170783996582e+00,2.173633193969726562e+01,-6.410098820924758911e-02,-2.975450083613395691e-02,5.901644825935363770e-01,3.734058141708374023e-01
