x1,x2,x3,x4,u,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.340072361607614404e+01,-3.349746869302017149e-01,4.181820096965919720e-01
-4.187456760633662817e-03,3.146823625340342989e+00,-3.349746869302017149e-01,4.181820096965919720e-01,-1.341795233379622587e+01,-3.351327819476374037e-01,4.151420849635706900e-01
-1.675186816309075927e-02,3.162478730556785855e+00,-6.701074688778391186e-01,8.333240946601626620e-01,-1.251298759536793170e+01,-3.119101034797483463e-01,3.795838496650688620e-01
-3.740507117903064949e-02,3.188075710215832359e+00,-9.820175723575874649e-01,1.212907944325231524e+00,-9.681533999389110079e+00,-2.401696458789899236e-01,2.803591634218516315e-01
-6.496001887057215041e-02,3.221928780757684407e+00,-1.222187218236577388e+00,1.493267107747083156e+00,-5.985433703970093333e+00,-1.465677802440576993e-01,1.517933399961990393e-01
-9.734959483154477511e-02,3.261187778686965633e+00,-1.368754998480635088e+00,1.645060447743282195e+00,-3.683236928749928918e+00,-8.771860679846121833e-02,6.565003136800040551e-02
-1.326678336024071925e-01,3.303166347975913464e+00,-1.456473605279096306e+00,1.710710479111282600e+00,-1.220972591032562615e+00,-2.500747357551968975e-02,-2.500771514576771715e-02
-1.693948002770012395e-01,3.345651789991213043e+00,-1.481481078854615996e+00,1.685702763965514883e+00,8.335296082740343282e-01,2.721973056707316374e-02,-1.014739153852350917e-01
-2.060934880350801801e-01,3.386553061716707003e+00,-1.454261348287542832e+00,1.584228848580279791e+00,2.420289265374842902e+00,6.740560466962475239e-02,-1.613514029749307799e-01
-2.416086529532677218e-01,3.424164793965857267e+00,-1.386855743617918080e+00,1.422877445605349012e+00,3.655047340142024481e+00,9.845761065793556810e-02,-2.080326538023380412e-01
-2.750498892012313013e-01,3.457154624628913542e+00,-1.288398132959982512e+00,1.214844791803010970e+00,4.644143492379637195e+00,1.230991428679562016e-01,-2.448390965258581131e-01
-3.057211872529840280e-01,3.484479028486242580e+00,-1.165298990092026310e+00,9.700056952771528573e-01,5.494944557660715212e+00,1.440978602401876696e-01,-2.751898565627182158e-01
-3.330522418818737118e-01,3.505298833264468339e+00,-1.021201129851838640e+00,6.948158387144346415e-01,6.262213417965758921e+00,1.629208458046240704e-01,-3.009664700657014302e-01
-3.565454869552252548e-01,3.518912840044090995e+00,-8.582802840472145700e-01,3.938493686487332113e-01,7.029933707840146262e+00,1.817465196919514359e-01,-3.248650323838081500e-01
-3.757304973035267004e-01,3.524700482975394955e+00,-6.765337643552631341e-01,6.898433626492506132e-02,7.822202248772860855e+00,2.012592975503169068e-01,-3.478192128486196077e-01
-3.901281909182741647e-01,3.522076412677739299e+00,-4.752744668049462273e-01,-2.788348765836945464e-01,8.721122577524210939e+00,2.235548709925325173e-01,-3.723888363987158945e-01
-3.992160611736566556e-01,3.510446763138138859e+00,-2.517195958124137101e-01,-6.512237129824104409e-01,9.749304262580002600e+00,2.492382986912404230e-01,-3.993940217902175460e-01
-4.023943968997585330e-01,3.489166826041936176e+00,-2.481297121173273168e-03,-1.050617734772627987e+00,1.093620885909914797e+01,2.790472906917350060e-01,-4.297766213751321729e-01
-3.989694556124740443e-01,3.457518877978350780e+00,2.765659935705617190e-01,-1.480394356147760160e+00,1.230023097813450939e+01,3.133828714752137645e-01,-4.639876637314379604e-01
-3.881391554463066718e-01,3.414694507298744686e+00,5.899488650457754835e-01,-1.944382019879198120e+00,1.386111086384958568e+01,3.525685068899265806e-01,-5.021672885553274401e-01
-3.689839029672686288e-01,3.359786814604964089e+00,9.425173719357020641e-01,-2.446549308434525560e+00,1.556449228187709721e+01,3.948951685501806974e-01,-5.415531494184415706e-01
-3.404837275235212402e-01,3.291822518781735152e+00,1.337412540485882761e+00,-2.988102457852967131e+00,1.736701641044279043e+01,4.386263845467377465e-01,-5.785670238830173950e-01
-3.015611763990613814e-01,3.209840586025332065e+00,1.776038925032620508e+00,-3.566669481735984526e+00,1.916895662666174971e+01,4.802398102501159727e-01,-6.063962858294926761e-01
-2.511469764556934492e-01,3.113021764495192745e+00,2.256278735282736481e+00,-4.173065767565477202e+00,2.075986103169207553e+01,5.131060899580379697e-01,-6.133235627524333822e-01
-1.883072593735314604e-01,3.000921169014736822e+00,2.769384825240774450e+00,-4.786389330317910584e+00,2.188817096393978545e+01,5.296046067029362980e-01,-5.862419665984415218e-01
-1.124228033499444640e-01,2.873782189989403157e+00,3.298989431943710748e+00,-5.372631296916352106e+00,2.218370733314797860e+01,5.200710737710756426e-01,-5.117260687352462867e-01
-2.340705466553190742e-02,2.732874769701465922e+00,3.819060505714786391e+00,-5.884357365651598393e+00,2.126380125740961802e+01,4.766363646130202802e-01,-3.845104883873213808e-01
7.807289548703055804e-02,2.580735760128257450e+00,4.295696870327806671e+00,-6.268867854038919774e+00,1.873159459431802532e+01,3.938429813933623791e-01,-2.116572023859761842e-01
