x1,x2,x3,x4,u,Y_v,Y_w
0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.607688077740714760e+00,6.607471814154994294e-02,-1.321062147930811559e-01
3.303789996983022624e-04,3.140932003638114978e+00,6.607471814154994294e-02,-1.321062147930811559e-01,-3.647986642998892748e+00,-3.649163043076841806e-02,7.321849323432233492e-02
8.086758256612583493e-04,3.139976862313128780e+00,2.958308771078152835e-02,-5.888772155875882097e-02,-1.999905067830946592e+01,-2.000026733526656664e-01,4.002488289181054815e-01
1.044818343916614138e-04,3.141389482856345339e+00,-1.704195856418841415e-01,3.413611073593466605e-01,-6.192312776127749885e+00,-6.190617116362720496e-02,1.234766117345565961e-01
-1.909278262575849231e-03,3.145421203614226613e+00,-2.323257568055113464e-01,4.648377190939032566e-01,-3.695121912924857099e+01,-3.694343426434835154e-01,7.373976790288192529e-01
-6.079786771195094981e-03,3.153758131708249035e+00,-6.017600994489948896e-01,1.202235398122722509e+00,4.414540368143839544e+01,4.416101646541240600e-01,-8.863709246971134270e-01
-9.889383531852525416e-03,3.161349875735087966e+00,-1.601499347948708574e-01,3.158644734256091380e-01,4.999999999890565050e+01,5.001745246461276606e-01,-1.004012438347643643e+00
-8.990000668193597402e-03,3.159488163790683313e+00,3.400245898512568310e-01,-6.881479649220344497e-01,4.999999999999998579e+01,5.001249128177397418e-01,-1.002669357797180805e+00
-3.089048442057926343e-03,3.147591347369991244e+00,8.401495026689965728e-01,-1.690817322719215143e+00,4.357382735450212152e+01,4.356853218390274174e-01,-8.705802951881806973e-01
7.491103012040668634e-03,3.126326265166819773e+00,1.275834824508023990e+00,-2.561397617907395841e+00,4.999999999999982947e+01,4.995124595807114432e-01,-9.927117025127274452e-01
2.274754016731476980e-02,3.095741902855816186e+00,1.775347284088735433e+00,-3.554109320420123286e+00,4.999999999999904077e+01,4.985930782413945384e-01,-9.822004779850623812e-01
4.299502485683085601e-02,3.055278900450799640e+00,2.273940362330129972e+00,-4.536309798405185667e+00,4.999999999999995737e+01,4.968929100403203236e-01,-9.659542609860602980e-01
6.822072717577672141e-02,3.005069610800505497e+00,2.770833272370450295e+00,-5.502264059391245965e+00,4.999999999999800337e+01,4.940728317728377839e-01,-9.421443490008218902e-01
9.840233735762689282e-02,2.945312729945986696e+00,3.264906104143288079e+00,-6.444408408392067855e+00,4.999999999999987210e+01,4.897885840439268890e-01,-9.088713453355197203e-01
1.335046075674393151e-01,2.876292132548026625e+00,3.754694688187214968e+00,-7.353279753727587575e+00,4.999999999920797933e+01,4.837488584358298205e-01,-8.644375942921804779e-01
1.734761191812467795e-01,2.798395112712875221e+00,4.238443546623044789e+00,-8.217717348019768053e+00,4.318385149096134512e+01,4.088022851987656026e-01,-6.836845310773078666e-01
2.179112602434220558e-01,2.712752218598426523e+00,4.647245831821810391e+00,-8.901401879097075920e+00,3.331947414725838286e+01,3.038153927795752551e-01,-4.509269810664431333e-01
2.659093509173630632e-01,2.621437541308757613e+00,4.951061224601385646e+00,-9.352328860163519053e+00,2.267688583608263997e+01,1.926838008395881374e-01,-2.195450001301892939e-01
3.163888307434712388e-01,2.526777980362674647e+00,5.143745025440973784e+00,-9.571873860293708347e+00,1.162307166213485310e+01,8.023793135672274701e-02,-5.837788048269842989e-03
3.682310556560096093e-01,2.431004190494994166e+00,5.223982956797696531e+00,-9.577711648341978190e+00,6.342907234195767074e-01,-2.816291094910994275e-02,1.757218444021937387e-01
4.203314563143468741e-01,2.336095463860114574e+00,5.195820045848586588e+00,-9.401989803939784451e+00,-9.773231352036273023e+00,-1.274970108153459236e-01,3.154667799426587038e-01
4.716514798131345443e-01,2.243658626687689228e+00,5.068323035033240664e+00,-9.086523023997125748e+00,-1.913698079143348352e+01,-2.139075900671407737e-01,4.100458016360484237e-01
5.212628584646292751e-01,2.154863411555499209e+00,4.854415444966099891e+00,-8.676477222361077324e+00,-2.712067811507869664e+01,-2.851296913220160434e-01,4.619543495493285690e-01
5.683780254972690127e-01,2.070439109176174686e+00,4.569285753644083847e+00,-8.214522872811748755e+00,-3.354871035928638889e+01,-3.405091511694244844e-01,4.777480951523349617e-01
6.123645420412900942e-01,1.990720757914719252e+00,4.228776602474659363e+00,-7.736774777659413793e+00,-3.840026253287933855e+01,-3.807165018838465365e-01,4.658704807019935501e-01
6.527449181594351391e-01,1.915724795883319898e+00,3.848060100590812826e+00,-7.270904296957420243e+00,-4.177469052841185260e+01,-4.073103334607957038e-01,4.348255002244547640e-01
6.891854403262517303e-01,1.845234118372087062e+00,3.440749767130017123e+00,-6.836078796732965479e+00,-4.384540579972363616e+01,-4.222939285069262638e-01,3.920264639103407944e-01
7.214783798355691724e-01,1.778877724575497421e+00,3.018455838623090859e+00,-6.444052332822624685e+00,-4.481703166224470181e+01,-4.277595198475383498e-01,3.433072480065018084e-01
7.495215507985685255e-01,1.716196866175785596e+00,2.590696318775552509e+00,-6.100745084816122876e+00,-4.489386884245492126e+01,-4.256558878135057178e-01,2.929044585096471920e-01
7.732981408058212658e-01,1.656695256595142718e+00,2.165040430962046791e+00,-5.807840626306475684e+00,-4.426123003302982539e+01,-4.176703656977382995e-01,2.436904455754307364e-01
7.928585584012798337e-01,1.599874472047710494e+00,1.747370065264308492e+00,-5.564150180731044948e+00,-4.307736965220917114e+01,-4.051950452936678992e-01,1.974891453285589904e-01
8.083050548717011230e-01,1.545257313522138132e+00,1.342175019970640593e+00,-5.366661035402485957e+00,-4.147222941786102979e+01,-3.893417057610306653e-01,1.553769377584455214e-01
8.197792161742197825e-01,1.492402219180931855e+00,9.528333142096099273e-01,-5.211284097644040436e+00,-3.955014539216232095e+01,-3.709820559595701228e-01,1.179272715904211566e-01
8.274520513933755206e-01,1.440911451935137810e+00,5.818512582500398045e-01,-5.093356826053619280e+00,-3.739392132426373649e+01,-3.507930154997817018e-01,8.539080360186446228e-02
8.315162521213947944e-01,1.390435180084497180e+00,2.310582427502581027e-01,-5.007966022451754817e+00,-3.506920883204272599e+01,-3.293002482837131817e-01,5.781894390891206825e-02
8.321801801713766267e-01,1.340672963682999708e+00,-9.824200553345505127e-02,-4.950147078542842749e+00,-3.262845021024121905e+01,-3.069152330080329172e-01,3.514327584860321707e-02
8.296631815874557780e-01,1.291373656646323420e+00,-4.051572385414879962e-01,-4.915003802694239532e+00,-3.011414223102539722e+01,-2.839650064186250988e-01,1.722315504921301255e-02
8.241918934891099280e-01,1.242334356106180815e+00,-6.891222449601130950e-01,-4.897780647645026519e+00,-2.756135088624632701e+01,-2.607147369642299761e-01,3.871839416340172590e-03
8.159972825108390282e-01,1.193398765074702661e+00,-9.498369819243430712e-01,-4.893908808228686347e+00,-2.499951891055074427e+01,-2.373839331811100628e-01,-5.130768999805468411e-03
8.053122211009875464e-01,1.144455160944911620e+00,-1.187220915105453134e+00,-4.899039577228491815e+00,-2.245367481384878161e+01,-2.141574563987302948e-01,-1.003285424529654080e-02
7.923694656357607169e-01,1.095434058577112957e+00,-1.401378371504183429e+00,-4.909072431473788356e+00,-1.994520883695718538e+01,-1.911928752955096567e-01,-1.110907654987869364e-02
7.773999445009455167e-01,1.046305601436611665e+00,-1.592571246799693085e+00,-4.920181508023667050e+00,-1.749240936579451855e+01,-1.686258791784174260e-01,-8.660734585618001802e-03
7.606312922460081172e-01,9.970766873646703665e-01,-1.761197125978110511e+00,-4.928842242609285051e+00,-1.511092304929219665e+01,-1.465751583395955571e-01,-3.017117149350490024e-03
7.422865782596937967e-01,9.477878209433668877e-01,-1.907772284317706069e+00,-4.931859359758635541e+00,-1.281421434361651990e+01,-1.251473418883823907e-01,5.462253102352931933e-03
7.225831807769920179e-01,8.985096740950915262e-01,-2.032919626206088459e+00,-4.926397106656282610e+00,-1.061400375530903872e+01,-1.044416754064760866e-01,1.638534239888844724e-02
7.017317580298304547e-01,8.493393319346969061e-01,-2.137361301612564546e+00,-4.910011764257394162e+00,-8.520615159931844929e+00,-8.455364309917090537e-02,2.932683167181959760e-02
6.799352749289052644e-01,8.003962082235790421e-01,-2.221914944711735451e+00,-4.880684932585574565e+00,-6.543175563039056897e+00,-6.557684638550220768e-02,4.383051623252498530e-02
6.573880576703819978e-01,7.518176381955733456e-01,-2.287491791097237659e+00,-4.836854416353049579e+00,-4.689656024596498440e+00,-4.760289300095044140e-02,5.941602012588820259e-02
6.342748673570125506e-01,7.037541940998895962e-01,-2.335094684098188100e+00,-4.777438396227161377e+00,-2.966784063428889340e+00,-3.071949919394301176e-02,7.559006661027911633e-02
6.107700026543979588e-01,6.563648133862259870e-01,-2.365814183292131112e+00,-4.701848329616882260e+00,-1.379879253875855527e+00,-1.500729807945377914e-02,9.186162168642564296e-02
5.870364569669487276e-01,6.098118718802054694e-01,-2.380821481371584891e+00,-4.609986707930456618e+00,6.733339435880236756e-02,-5.359736061847364397e-04,1.077594897382372352e-01
5.632251655178676097e-01,5.642563661894794969e-01,-2.381357454977769628e+00,-4.502227218192219382e+00,1.372885590939638911e+00,1.263964948274054478e-02,1.228504861933545911e-01
5.394743813535002319e-01,5.198533849189633793e-01,-2.368717805495029083e+00,-4.379376731998864791e+00,2.536669181282490193e+00,2.448299433059242247e-02,1.367561804935926162e-01
5.159092169249478443e-01,4.767480440812143505e-01,-2.344234811164436660e+00,-4.242620551505272175e+00,3.560460018799593840e+00,3.497815340965226838e-02,1.491663930015638684e-01
4.926413804472830615e-01,4.350720386398989059e-01,-2.309256657754784392e+00,-4.093454158503708307e+00,4.447854364173307040e+00,4.413105534908590144e-02,1.598480954244854146e-01
4.697691250920158490e-01,3.949409227181218118e-01,-2.265125602405698491e+00,-3.933606063079222892e+00,5.204121239226203954e+00,5.196926821367986449e-02,1.686490120424339878e-01
4.473774159254917948e-01,3.564521812531142864e-01,-2.213156334192018626e+00,-3.764957051036788904e+00,5.835983292781003584e+00,5.854050467115046175e-02,1.754959228492967149e-01
4.255383061409885315e-01,3.196841026032001820e-01,-2.154615829520868164e+00,-3.589461128187492189e+00,6.351345092927612512e+00,6.391004041305858863e-02,1.803883015024974057e-01
4.043115021586546898e-01,2.846954115485486603e-01,-2.090705789107809576e+00,-3.409072826684994784e+00,6.758991060192667710e+00,6.815735607533213170e-02,1.833883807132230537e-01
3.837450878173175317e-01,2.515255807721474279e-01,-2.022548433032477444e+00,-3.225684445971771730e+00,7.068275571601542850e+00,7.137235625983162635e-02,1.846089738794698398e-01
3.638763718699514205e-01,2.201957097564672949e-01,-1.951176076772645818e+00,-3.041075472092301890e+00,7.288825534422855412e+00,7.365150971713996242e-02,1.842003956334243853e-01
3.447328204878191693e-01,1.907098443260347997e-01,-1.877524567055505855e+00,-2.856875076458877505e+00,7.430271668658999573e+00,7.509420383621967510e-02,1.823376590185490365e-01
3.263330371700471355e-01,1.630566070265002387e-01,-1.802430363219286180e+00,-2.674537417440328468e+00,7.502019700212641418e+00,7.579953060558852762e-02,1.792088498109736250e-01
3.086877557053646637e-01,1.372110159154032727e-01,-1.726630832613697653e+00,-2.495328567629354843e+00,7.513067475056169009e+00,7.586363687571173742e-02,1.750052587195627396e-01
2.918008168339981667e-01,1.131363841358544314e-01,-1.650767195737985915e+00,-2.320323308909792104e+00,7.471869322987972240e+00,7.537769281567885393e-02,1.699135474732429429e-01
2.756701051900347088e-01,9.078621170913907246e-02,-1.575389502922307061e+00,-2.150409761436549161e+00,7.386245260263621049e+00,7.442646795417195982e-02,1.641099730402977297e-01
2.602884292486510875e-01,7.010600152258374129e-02,-1.500963034968135101e+00,-1.986299788396251431e+00,7.263330013217133008e+00,7.308745823736972902e-02,1.577565128265128180e-01
2.456443328055819830e-01,5.103495133640797987e-02,-1.427875576730765372e+00,-1.828543275569738613e+00,7.109555354169198260e+00,7.143048018932884879e-02,1.509986234326279320e-01
2.317228316120395204e-01,3.350749133227206439e-02,-1.356445096541436524e+00,-1.677544652137110681e+00,6.930657446354490325e+00,6.951762428284480322e-02,1.439642911304366280e-01
2.185060729214163555e-01,1.745465135916034541e-02,-1.286927472258591720e+00,-1.533580361006674053e+00,6.731710635041412871e+00,6.740355579439261113e-02,1.367642198483696170e-01
2.059739192366145943e-01,2.805254171365436245e-03,-1.219523916464199109e+00,-1.396816141158304436e+00,6.517158794842832670e+00,6.513585005130773098e-02,1.294924096553566883e-01
1.941044594538748613e-01,-1.051306142062538238e-02,-1.154388066412891378e+00,-1.267323731502947748e+00,6.290872492852400910e+00,6.275562401397327683e-02,1.222275455048684734e-01
1.828744522495732161e-01,-2.257297757959663559e-02,-1.091632442398918101e+00,-1.145096185998079275e+00,6.056199864112993936e+00,6.029812676939383387e-02,1.150344384029580169e-01
1.722597078297008477e-01,-3.344678044849492410e-02,-1.031334315629524268e+00,-1.030061747595121258e+00,5.816020586432815165e+00,5.779337049132582393e-02,1.079656185119965972e-01
1.622354141558766116e-01,-4.320577392571602060e-02,-9.735409451381984436e-01,-9.220961290831246604e-01,5.572798287468995859e+00,5.526674654912377971e-02,1.010629238785197836e-01
1.527764138875469524e-01,-5.191980827498049456e-02,-9.182741985890746639e-01,-8.210332052046048767e-01,5.328629907583627201e+00,5.273960634106300560e-02,9.435901293554593838e-02
1.438574380276118059e-01,-5.965690804918696161e-02,-8.655345922480116583e-01,-7.266741922690589384e-01,5.085291098959784151e+00,5.022979431499641212e-02,8.787875623108087897e-02
1.354533018419557810e-01,-6.648298480018333123e-02,-8.153047979330152462e-01,-6.387954360379780594e-01,4.844277256893653849e+00,4.775212749401669399e-02,8.164048514618649222e-02
1.275390681159032369e-01,-7.246162137061910868e-02,-7.675526704389985522e-01,-5.571549508917915672e-01,4.606840024048991289e+00,4.531881945621518692e-02,7.565708875432414215e-02
1.200901822648064443e-01,-7.765391604188152941e-02,-7.222338509827833652e-01,-4.814978621374674250e-01,4.374019470208285298e+00,4.293985110701314944e-02,6.993696288373763004e-02
1.130825832718465318e-01,-8.211837631251149572e-02,-6.792939998757702158e-01,-4.115608992537297950e-01,4.146672181819667458e+00,4.062329136437381472e-02,6.448481963372704184e-02
1.064927939094656023e-01,-8.591085351932360725e-02,-6.386707085113964011e-01,-3.470760796200027531e-01,3.925495638027669543e+00,3.837557254283241459e-02,5.930237043775904437e-02
1.002979932238395322e-01,-8.908451084386484475e-02,-6.002951359685639865e-01,-2.877737091822437088e-01,3.711049272284698830e+00,3.620172553606060273e-02,5.438889712858890890e-02
9.447607383429981742e-02,-9.168981843905732454e-02,-5.640934104325033838e-01,-2.333848120536547999e-01,3.503772626276496549e+00,3.410557996458596364e-02,4.974172580569088953e-02
8.900568622349075421e-02,-9.377457045652036471e-02,-5.299878304679174201e-01,-1.836430862479639103e-01,3.304000986768156345e+00,3.208993422456907219e-02,4.535661772231466826e-02
8.386627186846555559e-02,-9.538391965547185491e-02,-4.978978962433483479e-01,-1.382864685256492421e-01,3.111978866796305532e+00,3.015669997973496885e-02,4.122809030396738794e-02
7.903808678474290306e-02,-9.656042603779932398e-02,-4.677411962636133791e-01,-9.705837822168185414e-02,2.927871656421492830e+00,2.830702516062960639e-02,3.734968003442366152e-02
7.450221682019622649e-02,-9.734411659332799227e-02,-4.394341711029837727e-01,-5.970869818725819261e-02,2.751775729114306568e+00,2.654139902638380510e-02,3.371415746887160281e-02
7.024058583859028870e-02,-9.777255376879663562e-02,-4.128927720765999676e-01,-2.599454071838659328e-02,2.583727251508232126e+00,2.485974234879895217e-02,3.031370318606869951e-02
6.623595776858950956e-02,-9.788091070821991480e-02,-3.880330297278010154e-01,4.319162467682106238e-03,2.423709905301742129e+00,2.326148528683136263e-02,2.714005207702370123e-02
6.247193335820130922e-02,-9.770205166549207620e-02,-3.647715444409696528e-01,3.145921454470580747e-02,2.271661699077854646e+00,2.174563511877264377e-02,2.418461217381508155e-02
5.893294236242389156e-02,-9.726661627531343890e-02,-3.430259093221970090e-01,5.564382671852088902e-02,2.127481014892996125e+00,2.031083559179297504e-02,2.143856306005091639e-02
